Zeitstempel:                     Temperatur:
Fri Sep 29 14:00:25 CEST 2023    31.50
Fri Sep 29 14:00:25 CEST 2023    31.50
Fri Sep 29 14:00:25 CEST 2023    31.50
Fri Sep 29 14:00:26 CEST 2023    31.50
Fri Sep 29 14:00:26 CEST 2023    31.50
Fri Sep 29 14:00:26 CEST 2023    31.50
Fri Sep 29 14:00:26 CEST 2023    31.25
Fri Sep 29 14:00:26 CEST 2023    31.25
Fri Sep 29 14:00:27 CEST 2023    31.25
Fri Sep 29 14:00:27 CEST 2023    31.25
Fri Sep 29 14:00:27 CEST 2023    31.25
Fri Sep 29 14:00:27 CEST 2023    31.25
Fri Sep 29 14:00:28 CEST 2023    31.25
Fri Sep 29 14:00:28 CEST 2023    31.25
Fri Sep 29 14:00:28 CEST 2023    31.25
Fri Sep 29 14:00:28 CEST 2023    31.25
Fri Sep 29 14:00:29 CEST 2023    31.25
Fri Sep 29 14:00:29 CEST 2023    31.25
Fri Sep 29 14:00:29 CEST 2023    31.25
Fri Sep 29 14:00:29 CEST 2023    31.25
Fri Sep 29 14:00:30 CEST 2023    31.25
Fri Sep 29 14:00:30 CEST 2023    31.25
Fri Sep 29 14:00:30 CEST 2023    31.25
Fri Sep 29 14:00:30 CEST 2023    31.25
Fri Sep 29 14:00:31 CEST 2023    31.25
Fri Sep 29 14:00:31 CEST 2023    31.25
Fri Sep 29 14:00:31 CEST 2023    31.25
Fri Sep 29 14:00:31 CEST 2023    31.25
Fri Sep 29 14:00:31 CEST 2023    31.25
Fri Sep 29 14:00:32 CEST 2023    31.00
Fri Sep 29 14:00:32 CEST 2023    31.00
Fri Sep 29 14:00:32 CEST 2023    31.00
Fri Sep 29 14:00:32 CEST 2023    31.00
Fri Sep 29 14:00:33 CEST 2023    31.00
Fri Sep 29 14:00:33 CEST 2023    31.00
Fri Sep 29 14:00:33 CEST 2023    31.00
Fri Sep 29 14:00:33 CEST 2023    31.00
Fri Sep 29 14:00:34 CEST 2023    31.00
Fri Sep 29 14:00:34 CEST 2023    31.00
Fri Sep 29 14:00:34 CEST 2023    31.00
Fri Sep 29 14:00:34 CEST 2023    31.00
Fri Sep 29 14:00:35 CEST 2023    31.00
Fri Sep 29 14:00:35 CEST 2023    31.00
Fri Sep 29 14:00:35 CEST 2023    31.00
Fri Sep 29 14:00:35 CEST 2023    31.00
Fri Sep 29 14:00:36 CEST 2023    31.00
Fri Sep 29 14:00:36 CEST 2023    31.00
Fri Sep 29 14:00:36 CEST 2023    31.00
Fri Sep 29 14:00:36 CEST 2023    31.00
Fri Sep 29 14:00:36 CEST 2023    31.00
Fri Sep 29 14:00:37 CEST 2023    31.00
Fri Sep 29 14:00:37 CEST 2023    31.00
Fri Sep 29 14:00:37 CEST 2023    31.00
Fri Sep 29 14:00:37 CEST 2023    31.00
Fri Sep 29 14:00:38 CEST 2023    31.00
Fri Sep 29 14:00:38 CEST 2023    31.00
Fri Sep 29 14:00:38 CEST 2023    31.00
Fri Sep 29 14:00:38 CEST 2023    31.00
Fri Sep 29 14:00:39 CEST 2023    31.00
Fri Sep 29 14:00:39 CEST 2023    30.75
Fri Sep 29 14:00:39 CEST 2023    30.75
Fri Sep 29 14:00:39 CEST 2023    30.75
Fri Sep 29 14:00:40 CEST 2023    30.75
Fri Sep 29 14:00:40 CEST 2023    30.75
Fri Sep 29 14:00:40 CEST 2023    30.75
Fri Sep 29 14:00:40 CEST 2023    30.75
Fri Sep 29 14:00:41 CEST 2023    30.75
Fri Sep 29 14:00:41 CEST 2023    30.75
Fri Sep 29 14:00:41 CEST 2023    30.75
Fri Sep 29 14:00:41 CEST 2023    30.75
Fri Sep 29 14:00:41 CEST 2023    30.75
Fri Sep 29 14:00:42 CEST 2023    30.75
Fri Sep 29 14:00:42 CEST 2023    30.75
Fri Sep 29 14:00:42 CEST 2023    30.75
Fri Sep 29 14:00:42 CEST 2023    30.75
Fri Sep 29 14:00:43 CEST 2023    30.75
Fri Sep 29 14:00:43 CEST 2023    30.75
Fri Sep 29 14:00:43 CEST 2023    30.75
Fri Sep 29 14:00:43 CEST 2023    30.75
Fri Sep 29 14:00:44 CEST 2023    30.75
Fri Sep 29 14:00:44 CEST 2023    30.75
Fri Sep 29 14:00:44 CEST 2023    30.75
Fri Sep 29 14:00:44 CEST 2023    30.50
Fri Sep 29 14:00:45 CEST 2023    30.75
Fri Sep 29 14:00:45 CEST 2023    30.75
Fri Sep 29 14:00:45 CEST 2023    30.50
Fri Sep 29 14:00:45 CEST 2023    30.50
Fri Sep 29 14:00:46 CEST 2023    30.50
Fri Sep 29 14:00:46 CEST 2023    30.50
Fri Sep 29 14:00:46 CEST 2023    30.50
Fri Sep 29 14:00:46 CEST 2023    30.75
Fri Sep 29 14:00:46 CEST 2023    30.75
Fri Sep 29 14:00:47 CEST 2023    30.75
Fri Sep 29 14:00:47 CEST 2023    30.75
Fri Sep 29 14:00:47 CEST 2023    30.75
Fri Sep 29 14:00:47 CEST 2023    30.75
Fri Sep 29 14:00:48 CEST 2023    31.00
Fri Sep 29 14:00:48 CEST 2023    31.00
